index,id,from,to,freespeed,capacity,permlanes,oneway,modes,s2_from,s2_to,attributes,length,geometry,u,v
2027,2027,101982,34708773,22.22222222222222,1500.0,1.0,1,{'car'},5221390329375415267,5221390302315307309,"{'osm:way:highway': 'primary', 'osm:way:id': 547560261.0, 'osm:way:name': 'Park Crescent'}",140.51996740969895,ez~hinaBc~sze|`@rzaqTakimJ,101982,34708773
2030,2030,101982,1611082208,22.22222222222222,1500.0,1.0,1,{'car'},5221390329375415267,5221390329370336275,"{'osm:way:highway': 'primary', 'osm:way:id': 547560260.0, 'osm:way:name': 'Park Crescent'}",12.154572142172462,ez~hinaBc~sze|`@}dafAazaT,101982,1611082208
1810,1810,101986,5560625852,4.166666666666667,600.0,1.0,1,{'car'},5221390328605541517,5221390328585633395,"{'osm:relation:route': {'bus', 'bicycle'}, 'osm:way:highway': 'unclassified', 'osm:way:id': 114925568.0, 'osm:way:name': 'Devonshire Street', 'osm:way:oneway': 'yes'}",16.662646152963035,ms|hboaBegc}y{`@osu`Bw~e[,101986,5560625852
2433,2433,101986,1611082205,4.166666666666667,600.0,1.0,1,{'car'},5221390328605541517,5221390328748817551,"{'osm:way:highway': 'residential', 'osm:way:id': 147997980.0, 'osm:way:name': 'Hallam Street'}",65.73880138754332,ms|hboaBegc}y{`@tr|sB{iy~J,101986,1611082205
2434,2434,101986,1685938653,4.166666666666667,600.0,1.0,1,{'car'},5221390328605541517,5221390326050384773,"{'osm:way:highway': 'residential', 'osm:way:id': 147997980.0, 'osm:way:name': 'Hallam Street'}",124.22883608380228,ms|hboaBegc}y{`@kmwsExrwvU,101986,1685938653
816,816,101986,25495406,4.166666666666667,600.0,1.0,1,{'car'},5221390328605541517,5221390327683762635,"{'osm:relation:route': {'bus', 'bicycle'}, 'osm:way:highway': 'unclassified', 'osm:way:id': 38748215.0, 'osm:way:name': 'Devonshire Street'}",95.59878608964777,ms|hboaBegc}y{`@be`oPrytbD,101986,25495406
1794,1794,101990,330803151,6.944444444444445,600.0,1.0,1,{'car'},5221390304444353919,5221390327313427685,"{'osm:relation:route': 'bicycle', 'osm:way:highway': 'tertiary', 'osm:way:id': 17944925.0, 'osm:way:name': 'Weymouth Street', 'osm:way:oneway': 'yes'}",57.63853469237291,ye{mwmaBeedntz`@q~uqI}a`~A,101990,330803151
3285,3285,101990,101998,6.944444444444445,1200.0,2.0,1,{'car'},5221390304444353919,5221390315669000269,"{'osm:way:highway': 'tertiary', 'osm:way:id': 532636970.0, 'osm:way:lanes': '2', 'osm:way:name': 'Harley Street', 'osm:way:oneway': 'yes'}",141.23148124703266,ye{mwmaBeedntz`@yw|`G~zmuX,101990,101998
1908,1908,101991,101992,4.166666666666667,600.0,1.0,1,{'car'},5221390303990102293,5221390304897701221,"{'osm:relation:route': 'bicycle', 'osm:way:highway': 'unclassified', 'osm:way:id': 18771038.0, 'osm:way:name': 'Devonshire Street'}",108.42545621013026,ce~lpmaBa{sfk{`@n`ixRbx~~D,101991,101992
3284,3284,101991,101990,6.944444444444445,1200.0,2.0,1,{'car'},5221390303990102293,5221390304444353919,"{'osm:way:highway': 'tertiary', 'osm:way:id': 532636970.0, 'osm:way:lanes': '2', 'osm:way:name': 'Harley Street', 'osm:way:oneway': 'yes'}",124.9156710396322,ce~lpmaBa{sfk{`@u_|_FztnwU,101991,101990
3286,3286,101991,1514726033,4.166666666666667,600.0,1.0,1,{'car'},5221390303990102293,5221390327705980155,"{'osm:relation:route': 'bicycle', 'osm:way:highway': 'unclassified', 'osm:way:id': 532636971.0, 'osm:way:name': 'Devonshire Street'}",164.5118710362637,ce~lpmaBa{sfk{`@erya]wc|{G,101991,1514726033
1577,1577,101992,1667118178,4.166666666666667,600.0,1.0,1,{'car'},5221390304897701221,5221390305500568799,"{'osm:relation:route': 'bicycle', 'osm:way:highway': 'unclassified', 'osm:way:id': 615056689.0, 'osm:way:name': 'Devonshire Street'}",50.28751979375373,scts|laB}atfe{`@jwvfHtq`qA,101992,1667118178
1907,1907,101992,101991,4.166666666666667,600.0,1.0,1,{'car'},5221390304897701221,5221390303990102293,"{'osm:relation:route': 'bicycle', 'osm:way:highway': 'unclassified', 'osm:way:id': 18771038.0, 'osm:way:name': 'Devonshire Street'}",108.42545621013026,scts|laB}atfe{`@o`ixRcx~~D,101992,101991
2817,2817,101992,1667118232,6.944444444444445,600.0,1.0,1,{'car'},5221390304897701221,5221390300016517189,"{'osm:way:highway': 'tertiary', 'osm:way:id': 154116814.0, 'osm:way:name': 'Devonshire Place', 'osm:way:oneway': 'yes'}",199.04860035295167,scts|laB}atfe{`@~xzcJicghc@,101992,1667118232
1793,1793,101993,101990,6.944444444444445,600.0,1.0,1,{'car'},5221390305032150717,5221390304444353919,"{'osm:relation:route': 'bicycle', 'osm:way:highway': 'tertiary', 'osm:way:id': 17944925.0, 'osm:way:name': 'Weymouth Street', 'osm:way:oneway': 'yes'}",109.50935163102704,sgimcmaBe{ionz`@e}p_S_iy}D,101993,101990
240,240,101993,101992,6.944444444444445,600.0,1.0,1,{'car'},5221390305032150717,5221390304897701221,"{'osm:relation:route': 'bicycle', 'osm:way:highway': 'tertiary', 'osm:way:id': 4254943.0, 'osm:way:name': 'Upper Wimpole Street', 'osm:way:oneway': 'yes'}",124.38564767263534,sgimcmaBe{ionz`@~btxEweivU,101993,101992
1230,1230,101995,1619464655,6.944444444444445,600.0,1.0,1,{'car'},5221390307702671963,5221390307779792307,"{'osm:way:highway': 'tertiary', 'osm:way:id': 4255551.0, 'osm:way:name': 'Weymouth Street', 'osm:way:oneway': 'yes'}",51.12329004601438,o`~valaBsl_lfz`@{puuHe`q[,101995,1619464655
1476,1476,101995,5560599870,8.333333333333334,1000.0,1.0,1,{'car'},5221390307702671963,5221390306965225137,"{'osm:way:highway': 'secondary', 'osm:way:id': 66676148.0, 'osm:way:name': 'Marylebone High Street'}",78.47727849914519,o`~valaBsl_lfz`@lm}s@sl~zM,101995,5560599870
2569,2569,101995,1619500464,8.333333333333334,1000.0,1.0,1,{'car'},5221390307702671963,5221390307698621305,"{'osm:way:highway': 'secondary', 'osm:way:id': 148890705.0, 'osm:way:name': 'Marylebone High Street'}",13.887797937260242,o`~valaBsl_lfz`@ufhH~bgsA,101995,1619500464
628,628,101997,101993,6.944444444444445,600.0,1.0,1,{'car'},5221390314765266713,5221390305032150717,"{'osm:relation:route': 'bicycle', 'osm:way:highway': 'tertiary', 'osm:way:id': 476448488.0, 'osm:way:name': 'Wimpole Street', 'osm:way:oneway': 'yes'}",141.73067123219684,g_xtkmaBsdkwty`@rvmfGqu}vX,101997,101993
