,trip_id,stop_id,stop_sequence,departure_time,arrival_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
0,VJ2cdccea96e0e3e6a53a968bcb132941415d6d7c9_04:53:00,490000235X.link:834,0,04:53:00,04:53:00,,,,,,,
1,VJ2cdccea96e0e3e6a53a968bcb132941415d6d7c9_04:53:00,490000235YB.link:574,1,04:55:00,04:55:00,,,,,,,
2,VJ2cdccea96e0e3e6a53a968bcb132941415d6d7c9_04:53:00,490014214HE.link:3154,2,04:57:00,04:57:00,,,,,,,
3,VJ2cdccea96e0e3e6a53a968bcb132941415d6d7c9_04:53:00,490010689KB.link:981,3,04:59:00,04:59:00,,,,,,,
4,VJ375a660d47a2aa570aa20a8568012da8497ffecf_03:53:00,490000235X.link:834,0,03:53:00,03:53:00,,,,,,,
5,VJ375a660d47a2aa570aa20a8568012da8497ffecf_03:53:00,490000235YB.link:574,1,03:55:00,03:55:00,,,,,,,
6,VJ375a660d47a2aa570aa20a8568012da8497ffecf_03:53:00,490014214HE.link:3154,2,03:57:00,03:57:00,,,,,,,
7,VJ375a660d47a2aa570aa20a8568012da8497ffecf_03:53:00,490010689KB.link:981,3,03:59:00,03:59:00,,,,,,,
8,VJ3b9d77d2ef200b21c8048fea5eedc2d2788a1b94_01:54:00,490000235X.link:834,0,01:54:00,01:54:00,,,,,,,
9,VJ3b9d77d2ef200b21c8048fea5eedc2d2788a1b94_01:54:00,490000235YB.link:574,1,01:56:00,01:56:00,,,,,,,
10,VJ3b9d77d2ef200b21c8048fea5eedc2d2788a1b94_01:54:00,490014214HE.link:3154,2,01:58:00,01:58:00,,,,,,,
11,VJ3b9d77d2ef200b21c8048fea5eedc2d2788a1b94_01:54:00,490010689KB.link:981,3,02:00:00,02:00:00,,,,,,,
12,VJ79974c386a39426e06783650a759828438432aa4_05:23:00,490000235X.link:834,0,05:23:00,05:23:00,,,,,,,
13,VJ79974c386a39426e06783650a759828438432aa4_05:23:00,490000235YB.link:574,1,05:25:00,05:25:00,,,,,,,
14,VJ79974c386a39426e06783650a759828438432aa4_05:23:00,490014214HE.link:3154,2,05:27:00,05:27:00,,,,,,,
15,VJ79974c386a39426e06783650a759828438432aa4_05:23:00,490010689KB.link:981,3,05:29:00,05:29:00,,,,,,,
16,VJa09c394b71031216571d813a6266c83f2d30bf0a_04:23:00,490000235X.link:834,0,04:23:00,04:23:00,,,,,,,
17,VJa09c394b71031216571d813a6266c83f2d30bf0a_04:23:00,490000235YB.link:574,1,04:25:00,04:25:00,,,,,,,
18,VJa09c394b71031216571d813a6266c83f2d30bf0a_04:23:00,490014214HE.link:3154,2,04:27:00,04:27:00,,,,,,,
19,VJa09c394b71031216571d813a6266c83f2d30bf0a_04:23:00,490010689KB.link:981,3,04:29:00,04:29:00,,,,,,,
20,VJb1ecf6f30844187f7b9364fd9550acdcc5ce2c22_01:25:00,490000235X.link:834,0,01:25:00,01:25:00,,,,,,,
21,VJb1ecf6f30844187f7b9364fd9550acdcc5ce2c22_01:25:00,490000235YB.link:574,1,01:27:00,01:27:00,,,,,,,
22,VJb1ecf6f30844187f7b9364fd9550acdcc5ce2c22_01:25:00,490014214HE.link:3154,2,01:29:00,01:29:00,,,,,,,
23,VJb1ecf6f30844187f7b9364fd9550acdcc5ce2c22_01:25:00,490010689KB.link:981,3,01:31:00,01:31:00,,,,,,,
24,VJc22488e687bcce9c50e372806cd8a1bcdddd5f98_02:24:00,490000235X.link:834,0,02:24:00,02:24:00,,,,,,,
25,VJc22488e687bcce9c50e372806cd8a1bcdddd5f98_02:24:00,490000235YB.link:574,1,02:26:00,02:26:00,,,,,,,
26,VJc22488e687bcce9c50e372806cd8a1bcdddd5f98_02:24:00,490014214HE.link:3154,2,02:28:00,02:28:00,,,,,,,
27,VJc22488e687bcce9c50e372806cd8a1bcdddd5f98_02:24:00,490010689KB.link:981,3,02:30:00,02:30:00,,,,,,,
28,VJc3fd8f2be7eb005d47a13119c129d23ba6fed5fd_03:23:00,490000235X.link:834,0,03:23:00,03:23:00,,,,,,,
29,VJc3fd8f2be7eb005d47a13119c129d23ba6fed5fd_03:23:00,490000235YB.link:574,1,03:25:00,03:25:00,,,,,,,
30,VJc3fd8f2be7eb005d47a13119c129d23ba6fed5fd_03:23:00,490014214HE.link:3154,2,03:27:00,03:27:00,,,,,,,
31,VJc3fd8f2be7eb005d47a13119c129d23ba6fed5fd_03:23:00,490010689KB.link:981,3,03:29:00,03:29:00,,,,,,,
32,VJe80a8ff48d21b29919ca3d8234d5a86bbf729513_02:54:00,490000235X.link:834,0,02:54:00,02:54:00,,,,,,,
33,VJe80a8ff48d21b29919ca3d8234d5a86bbf729513_02:54:00,490000235YB.link:574,1,02:56:00,02:56:00,,,,,,,
34,VJe80a8ff48d21b29919ca3d8234d5a86bbf729513_02:54:00,490014214HE.link:3154,2,02:58:00,02:58:00,,,,,,,
35,VJe80a8ff48d21b29919ca3d8234d5a86bbf729513_02:54:00,490010689KB.link:981,3,03:00:00,03:00:00,,,,,,,
36,VJe81073fff46cfb30ff47a53f387e05dc17f2dda3_24:55:00,490000235X.link:834,0,00:55:00,00:55:00,,,,,,,
37,VJe81073fff46cfb30ff47a53f387e05dc17f2dda3_24:55:00,490000235YB.link:574,1,00:57:00,00:57:00,,,,,,,
38,VJe81073fff46cfb30ff47a53f387e05dc17f2dda3_24:55:00,490014214HE.link:3154,2,00:59:00,00:59:00,,,,,,,
39,VJe81073fff46cfb30ff47a53f387e05dc17f2dda3_24:55:00,490010689KB.link:981,3,01:01:00,01:01:00,,,,,,,
40,VJ4e00b97ca9c6c0c96da8f793dfbd37b11f647fa7_03:40:00,490015196OG.link:2954,0,03:40:00,03:40:00,,,,,,,
41,VJ4e00b97ca9c6c0c96da8f793dfbd37b11f647fa7_03:40:00,490010689OJ.link:1787,1,03:42:20,03:42:20,,,,,,,
42,VJ4e00b97ca9c6c0c96da8f793dfbd37b11f647fa7_03:40:00,490000235V.link:3140,2,03:44:40,03:44:40,,,,,,,
43,VJ4e00b97ca9c6c0c96da8f793dfbd37b11f647fa7_03:40:00,490000235P.link:15,3,03:47:00,03:47:00,,,,,,,
44,VJ5754c33f25d479f4b039d73ab1e930b5424d104f_03:10:00,490015196OG.link:2954,0,03:10:00,03:10:00,,,,,,,
45,VJ5754c33f25d479f4b039d73ab1e930b5424d104f_03:10:00,490010689OJ.link:1787,1,03:12:20,03:12:20,,,,,,,
46,VJ5754c33f25d479f4b039d73ab1e930b5424d104f_03:10:00,490000235V.link:3140,2,03:14:40,03:14:40,,,,,,,
47,VJ5754c33f25d479f4b039d73ab1e930b5424d104f_03:10:00,490000235P.link:15,3,03:17:00,03:17:00,,,,,,,
48,VJ599595acc340bbcd35a4521cb7a8a2c76596f915_04:10:00,490015196OG.link:2954,0,04:10:00,04:10:00,,,,,,,
49,VJ599595acc340bbcd35a4521cb7a8a2c76596f915_04:10:00,490010689OJ.link:1787,1,04:12:20,04:12:20,,,,,,,
50,VJ599595acc340bbcd35a4521cb7a8a2c76596f915_04:10:00,490000235V.link:3140,2,04:14:40,04:14:40,,,,,,,
51,VJ599595acc340bbcd35a4521cb7a8a2c76596f915_04:10:00,490000235P.link:15,3,04:17:00,04:17:00,,,,,,,
52,VJ6c64ab7b477e201cae950efde5bd0cb4e2e8888e_04:40:00,490015196OG.link:2954,0,04:40:00,04:40:00,,,,,,,
53,VJ6c64ab7b477e201cae950efde5bd0cb4e2e8888e_04:40:00,490010689OJ.link:1787,1,04:42:20,04:42:20,,,,,,,
54,VJ6c64ab7b477e201cae950efde5bd0cb4e2e8888e_04:40:00,490000235V.link:3140,2,04:44:40,04:44:40,,,,,,,
55,VJ6c64ab7b477e201cae950efde5bd0cb4e2e8888e_04:40:00,490000235P.link:15,3,04:47:00,04:47:00,,,,,,,
56,VJ4bf97582df9fc4d0ac8bba408ff3f377f362159c_02:10:00,490015196OG.link:2954,0,02:10:00,02:10:00,,,,,,,
57,VJ4bf97582df9fc4d0ac8bba408ff3f377f362159c_02:10:00,490010689OJ.link:1787,1,02:12:40,02:12:40,,,,,,,
58,VJ4bf97582df9fc4d0ac8bba408ff3f377f362159c_02:10:00,490000235V.link:3140,2,02:15:20,02:15:20,,,,,,,
59,VJ4bf97582df9fc4d0ac8bba408ff3f377f362159c_02:10:00,490000235P.link:15,3,02:18:00,02:18:00,,,,,,,
60,VJ812fad65e7fa418645b57b446f00cba573f2cdaf_01:10:00,490015196OG.link:2954,0,01:10:00,01:10:00,,,,,,,
61,VJ812fad65e7fa418645b57b446f00cba573f2cdaf_01:10:00,490010689OJ.link:1787,1,01:12:40,01:12:40,,,,,,,
